# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.11.2
#@/tick	975305
#@/user_id	config_yamls
a 	啊	c=4269 d=4.42228 t=975299
huan huan xiang kou 	環環相扣	c=1 d=0 t=975297
huan hui 	換匯	c=2 d=1.41541e-45 t=975297
huan hui 	換回	c=5 d=1.39549e-185 t=975297
huan hui jia ge 	換匯價格	c=1 d=7.75947e-46 t=975297
huan hui lai 	換回來	c=4 d=9.18483e-30 t=975297
huan hui qu 	換回去	c=2 d=0 t=975297
huan huo 	換貨	c=5 d=6.48082e-37 t=975297
huan huo er 	換活兒	c=1 d=5.98645e-141 t=975297
huan ji 	換機	c=4 d=2.39006e-291 t=975297
huan jia 	還價	c=1 d=0 t=975297
huan jie 	環節	c=37 d=1.81451e-30 t=975297
huan jie 	緩解	c=1 d=1.16312e-248 t=975297
huan jing 	環境	c=959 d=0.226313 t=975297
huan jing le 	環境了	c=1 d=5.33141e-160 t=975297
huan jing lei 	環境類	c=1 d=1.12047e-44 t=975297
huan jing xia 	環境下	c=7 d=9.28533e-11 t=975297
huan jing you mei 	環境優美	c=1 d=2.04199e-193 t=975297
huan ju hua 	換句話	c=5 d=6.83308e-109 t=975297
huan jue 	幻覺	c=6 d=2.02202e-21 t=975297
huan ka 	換卡	c=2 d=5.9325e-64 t=975297
huan kai guan 	換開關	c=1 d=3.71896e-158 t=975297
huan kuan 	還款	c=22 d=6.27471e-69 t=975297
huan lai 	換來	c=2 d=6.77134e-208 t=975297
huan le 	換了	c=11 d=3.74916e-18 t=975297
huan le 	歡樂	c=5 d=0.000248517 t=975297
huan le ge 	換了個	c=5 d=1.0512e-58 t=975297
huan le ge 	歡樂個	c=2 d=1.02686e-194 t=975297
huan le ge shu ru fa 	換了個輸入法	c=1 d=2.38224e-212 t=975297
huan le song 	歡樂頌	c=1 d=0 t=975297
huan le tai 	換了臺	c=1 d=0 t=975297
huan lian jie 	換鏈接	c=1 d=0 t=975297
huan man 	緩慢	c=16 d=0.414783 t=975297
huan ming cheng 	換名稱	c=1 d=9.02787e-180 t=975297
huan pi fu 	換皮膚	c=3 d=6.96178e-195 t=975297
huan ping 	環評	c=5 d=0 t=975297
huan ping ren 	環評人	c=1 d=0 t=975297
huan qi 	喚起	c=260 d=0.0290133 t=975297
huan qi lai 	換起來	c=4 d=5.23525e-192 t=975297
huan qian 	換錢	c=4 d=3.44954e-185 t=975297
huan qian 	還錢	c=2 d=6.04328e-17 t=975297
huan qing 	還清	c=9 d=2.03657e-103 t=975297
huan qiu 	環球	c=5 d=0 t=975297
huan qu 	換去	c=1 d=6.80528e-208 t=975297
huan qu 	換取	c=1 d=2.23376e-249 t=975297
huan ren 	換人	c=8 d=3.9059e-88 t=975297
huan sha 	換啥	c=2 d=1.94525e-269 t=975297
huan shang 	患上	c=1 d=8.1321e-39 t=975297
huan shang 	換上	c=12 d=3.25316e-25 t=975297
huan shang qu 	換上去	c=2 d=1.50836e-12 t=975297
huan shi 	緩釋	c=1 d=7.75551e-40 t=975297
huan shou ji 	換手機	c=4 d=7.24821e-97 t=975297
huan shuo 	換說	c=1 d=0 t=975297
huan song 	歡送	c=1 d=0 t=975297
huan suan 	換算	c=7 d=1.35193e-18 t=975297
huan tou xiang 	換頭像	c=3 d=1.25212e-145 t=975297
huan tu 	換圖	c=2 d=1.30397e-93 t=975297
huan tu 	換土	c=1 d=0 t=975297
huan wan 	換完	c=6 d=7.77647e-249 t=975297
huan wan le 	換完了	c=1 d=0 t=975297
huan wei 	換位	c=3 d=1.25241e-89 t=975297
huan wo 	換我	c=1 d=0 t=975297
huan wo 	還我	c=2 d=4.12985e-185 t=975297
huan xi 	歡喜	c=2 d=6.77595e-216 t=975297
huan xia 	換下	c=22 d=2.06004e-32 t=975297
huan xiang 	幻想	c=2 d=1.03161e-201 t=975297
huan xiang 	還鄉	c=1 d=0 t=975297
huan xiang zhe 	幻想着	c=1 d=2.67029e-202 t=975297
huan xie 	換血	c=1 d=1.67188e-17 t=975297
huan xin 	換新	c=5 d=1.83244e-37 t=975297
huan xing 	喚醒	c=12 d=1.67091e-53 t=975297
huan yi fu 	換衣服	c=1 d=2.37867e-165 t=975297
huan yi ge 	換一個	c=1 d=5.86696e-286 t=975297
huan yi huan 	緩一緩	c=2 d=5.64509e-68 t=975297
huan yi jia 	換一家	c=2 d=0 t=975297
huan yi xia 	換一下	c=6 d=8.17068e-124 t=975297
huan yi zhong 	換一種	c=2 d=5.59595e-24 t=975297
huan ying 	( ＾∀＾）／欢迎＼( ＾∀＾）	c=58 d=0.000112788 t=975297
huan ying 	歡迎	c=46 d=8.75353e-23 t=975297
huan ying da jia 	歡迎大家	c=1 d=1.60487e-212 t=975297
huan yu ming 	換域名	c=3 d=3.51735e-269 t=975297
huan yuan 	還原	c=85 d=4.50799e-10 t=975297
huan yun 	環暈	c=1 d=0 t=975297
huan zhe 	患者	c=2 d=0.0227089 t=975297
huan zhe 	換着	c=3 d=2.89152e-256 t=975297
huan zhe ge 	換這個	c=1 d=1.87731e-145 t=975297
huan zheng 	換證	c=3 d=1.21614e-08 t=975297
huan zhu ti 	換主題	c=1 d=0 t=975297
huang 	慌	c=31 d=6.15762e-61 t=975297
huang 	皇	c=11 d=0 t=975297
huang 	黃	c=276 d=5.10822e-10 t=975297
huang bian 	慌邊	c=6 d=2.23154e-61 t=975297
huang cong zhi 	黃從志	c=1 d=3.47378e-91 t=975297
huang dang 	晃盪	c=1 d=0 t=975297
huang de 	慌得	c=1 d=0 t=975297
huang di 	皇帝	c=3 d=3.22905e-202 t=975297
huang duo 	黃多	c=1 d=1.19012e-77 t=975297
huang fei hong 	黃飛鴻	c=1 d=0 t=975297
huang gua 	黃瓜	c=2 d=7.37853e-42 t=975297
huang hao 	黃浩	c=41 d=2.38767e-07 t=975297
huang hao ran 	黃浩然	c=5 d=1.47214e-07 t=975297
huang hua 	黃花	c=1 d=1.17864e-110 t=975297
huang hua cai 	黃花菜	c=4 d=1.58839e-32 t=975297
huang huang 	晃晃	c=3 d=0 t=975297
huang huo qiang 	黃火槍	c=1 d=1.30065e-63 t=975297
huang jia 	皇家	c=2 d=1.5922e-207 t=975297
huang jia ju 	黃家駒	c=1 d=6.81638e-139 t=975297
huang jiang 	黃江	c=47 d=2.64649e-38 t=975297
huang jiang 	黃薑	c=1 d=0.000266536 t=975297
huang jin 	黃金	c=13 d=8.31464e-17 t=975297
huang jin keng 	黃金坑	c=1 d=0 t=975297
huang jin tong 	黃金瞳	c=323 d=1.97938 t=975297
huang kong 	惶恐	c=3 d=7.07533e-254 t=975297
huang kun 	黃坤	c=1 d=3.23156e-123 t=975297
huang lao shi 	黃老師	c=1 d=7.76879e-207 t=975297
huang lei 	黃磊	c=1 d=0 t=975297
huang li 	黃曆	c=2 d=1.69173e-97 t=975297
huang li 	黃鸝	c=1 d=9.24944e-83 t=975297
huang li huang zhang 	慌里慌張	c=2 d=1.33916e-121 t=975297
huang li yi 	黃麗儀	c=3 d=1.44057e-144 t=975297
huang man 	黃曼	c=3 d=2.24229e-235 t=975297
huang min zhi 	黃敏志	c=132 d=0.0851847 t=975297
huang pu 	黃埔	c=1 d=8.27054e-208 t=975297
huang se 	黃色	c=10 d=4.63821e-139 t=975297
huang shang 	皇上	c=3 d=8.50323e-64 t=975297
huang shi 	黃石	c=1 d=1.08418e-186 t=975297
huang tang 	荒唐	c=1 d=4.66716e-124 t=975297
huang wen kang 	黃文康	c=16 d=0 t=975297
huang you 	晃悠	c=1 d=2.25075e-103 t=975297
huang yue kai 	黃粵塏	c=6 d=6.5297e-16 t=975297
huang zheng 	黃崢	c=1 d=2.29185e-110 t=975297
huang zhi 	黃志	c=3 d=1.27981e-07 t=975297
huang zi hao 	黃梓灝	c=193 d=0.00106118 t=975297
hui 	匯	c=7 d=1.29866e-45 t=975297
hui 	回	c=175 d=7.8419e-06 t=975297
hui 	惠	c=3 d=3.73228e-200 t=975297
hui 	慧	c=6 d=2.98068e-18 t=975297
hui 	揮	c=1 d=1.72385e-83 t=975297
hui 	暉	c=1 d=0 t=975297
hui 	會	c=1552 d=0.960837 t=975297
hui 	灰	c=7 d=5.86192e-129 t=975297
hui 	輝	c=6 d=1.64727e-19 t=975297
hui ba 	會把	c=21 d=1.36353e-89 t=975297
hui ba ni 	會把你	c=1 d=0 t=975297
hui bai se 	灰白色	c=1 d=2.44462e-222 t=975297
hui ban 	繪板	c=1 d=0 t=975297
hui bang ni 	會幫你	c=1 d=0 t=975297
hui bao 	回報	c=2 d=4.97589e-201 t=975297
hui bao 	彙報	c=290 d=0.128735 t=975297
hui bao 	會報	c=1 d=1.36957e-141 t=975297
hui bao lv 	回報率	c=1 d=4.28556e-238 t=975297
hui bao zheng 	會保證	c=1 d=3.32672e-229 t=975297
hui bei 	會被	c=23 d=4.98549e-18 t=975297
hui bei jing 	會北京	c=2 d=0 t=975297
hui beng diao 	會崩掉	c=1 d=0 t=975297
hui bi 	會比	c=12 d=5.95027e-12 t=975297
hui bi jiao 	會比較	c=8 d=5.26648e-16 t=975297
hui bi ta 	會比他	c=1 d=5.98009e-11 t=975297
hui bian 	彙編	c=1 d=2.85856e-180 t=975297
hui bian 	會變	c=2 d=5.91982e-127 t=975297
hui bin 	慧斌	c=6 d=0 t=975297
hui bing 	惠兵	c=2 d=0 t=975297
hui bo 	回撥	c=2 d=7.65372e-170 t=975297
hui bu dao 	會不到	c=1 d=0 t=975297
hui bu ding shi 	會不定時	c=1 d=0 t=975297
hui bu hui 	會不會	c=122 d=1.40204e-05 t=975297
hui bu hui shi 	會不會是	c=1 d=3.87626e-116 t=975297
hui bu hui you 	會不會有	c=1 d=0 t=975297
hui bu lai 	回不來	c=7 d=3.02469e-80 t=975297
hui bu liao 	回不了	c=4 d=1.78526e-83 t=975297
hui bu qu 	回不去	c=5 d=3.04856e-143 t=975297
hui cao zuo 	會操作	c=1 d=9.3424e-83 t=975297
hui chan sheng 	會產生	c=1 d=0 t=975297
hui chang 	會場	c=38 d=0.357007 t=975297
hui chang 	灰常	c=11 d=1.22369e-22 t=975297
hui chang gan xie 	灰常感謝	c=1 d=8.75481e-201 t=975297
hui che 	回車	c=6 d=2.35964e-100 t=975297
hui chen 	灰塵	c=3 d=1.37022e-29 t=975297
hui cheng 	回城	c=0 d=1.86096e-102 t=975297
hui cheng wei 	會成爲	c=5 d=0.923116 t=975297
hui cheng wo 	回城我	c=1 d=1.87029e-101 t=975297
hui chi 	揮斥	c=2 d=2.08783e-72 t=975297
hui chi 	會吃	c=1 d=2.0983e-72 t=975297
hui chi xu 	會持續	c=1 d=4.08959e-158 t=975297
hui chu 	會出	c=14 d=1.14848e-11 t=975297
hui chu xian 	會出現	c=8 d=5.51357e-26 t=975297
hui chuan 	回傳	c=4 d=7.98523e-148 t=975297
hui cong 	會從	c=4 d=4.41168e-50 t=975297
hui cun 	惠存	c=8 d=8.63937e-45 t=975297
hui cun zai 	會存在	c=2 d=0 t=975297
hui da 	回答	c=70 d=5.01747e-05 t=975297
hui da zhe kou 	會打折扣	c=1 d=0 t=975297
hui dai lai 	會帶來	c=2 d=0 t=975297
hui dang 	迴盪	c=1 d=8.23516e-187 t=975297
hui dao 	回到	c=27 d=2.22895e-18 t=975297
hui dao 	會到	c=2 d=0 t=975297
hui dao zhi 	會導致	c=21 d=4.09778e-64 t=975297
hui dian 	回電	c=1 d=1.60028e-149 t=975297
hui diao 	回調	c=44 d=3.52001e-16 t=975297
hui dong 	會動	c=1 d=0 t=975297
hui du 	灰度	c=78 d=0.000219315 t=975297
hui dui 	會對	c=3 d=1.36882e-17 t=975297
hui er 	會兒	c=16 d=1.3998e-45 t=975297
hui fa 	揮發	c=1 d=5.71585e-185 t=975297
hui fa xian 	會發現	c=1 d=1.28285e-48 t=975297
hui fan 	回返	c=1 d=1.70358e-179 t=975297
hui fan che 	會翻車	c=1 d=0 t=975297
hui fang 	回放	c=31 d=2.5142e-30 t=975297
hui fang bian 	會方便	c=1 d=2.8414e-168 t=975297
hui fu 	回覆	c=156 d=0.17552 t=975297
hui fu 	恢復	c=61 d=0.194952 t=975297
hui fu ni 	回覆你	c=2 d=1.21717e-18 t=975297
hui ge 	回個	c=1 d=7.76872e-60 t=975297
hui ge hua 	回個話	c=1 d=0 t=975297
hui gei 	會給	c=5 d=8.62007e-195 t=975297
hui gei ni 	回給你	c=2 d=0 t=975297
hui gei ni 	會給你	c=1 d=0 t=975297
hui gen 	會跟	c=14 d=8.33823e-10 t=975297
hui gen ni 	會跟你	c=5 d=5.98926e-29 t=975297
hui geng 	會更	c=1 d=9.80708e-154 t=975297
hui geng duo 	會更多	c=1 d=0 t=975297
hui geng hao 	會更好	c=5 d=2.16367e-80 t=975297
hui geng you 	會更有	c=1 d=0 t=975297
hui gou 	回購	c=6 d=0 t=975297
hui gou jia ge 	回購價格	c=1 d=0 t=975297
hui gu 	回顧	c=41 d=6.23793e-37 t=975297
hui gu 	惠顧	c=1 d=0 t=975297
hui gui 	回歸	c=42 d=1.62844e-07 t=975297
hui gun 	回滾	c=25 d=0.00400585 t=975297
hui guo 	回國	c=2 d=5.07414e-137 t=975297
hui guo 	回過	c=1 d=0 t=975297
hui guo rou 	回鍋肉	c=1 d=1.55976e-112 t=975297
hui guo tou 	回過頭	c=3 d=2.27989e-166 t=975297
hui hao 	會好	c=1 d=0 t=975297
hui hao dian 	會好點	c=3 d=7.50359e-122 t=975297
hui he 	匯合	c=2 d=0 t=975297
hui he 	回合	c=1 d=0 t=975297
hui hen da 	會很大	c=1 d=0 t=975297
hui hou 	會後	c=8 d=2.25704e-77 t=975297
hui hua 	回話	c=5 d=2.06475e-147 t=975297
hui hua 	會話	c=7 d=2.94411e-174 t=975297
hui hua 	繪畫	c=1 d=0 t=975297
hui hui 	會會	c=2 d=0 t=975297
hui hui er 	回會兒	c=1 d=2.2764e-148 t=975297
hui ji 	彙集	c=2 d=3.91093e-15 t=975297
hui ji 	灰機	c=13 d=3.90894e-09 t=975297
hui jia 	回家	c=112 d=1.94579e-08 t=975297
hui jia 	會加	c=1 d=0 t=975297
hui jia chi 	回家吃	c=1 d=3.57984e-180 t=975297
hui jian dan 	會簡單	c=2 d=4.98166e-244 t=975297
hui jiang 	會將	c=2 d=5.22279e-65 t=975297
hui jin xing 	會進行	c=2 d=1.23562e-136 t=975297
hui jing 	回京	c=1 d=0 t=975297
hui jing 	徽京	c=1 d=0 t=975297
hui jing li 	會經歷	c=1 d=0 t=975297
hui jiu dian 	會酒店	c=1 d=0 t=975297
hui ju 	回拒	c=6 d=8.67768e-97 t=975297
hui jue 	回絕	c=1 d=0 t=975297
hui jue de ni 	會覺得你	c=1 d=0 t=975297
hui ka 	會卡	c=1 d=0 t=975297
hui kai 	回開	c=1 d=4.28351e-204 t=975297
hui kou 	回扣	c=1 d=0 t=975297
hui kuan 	匯款	c=6 d=1.66751e-45 t=975297
hui kuan 	回款	c=2 d=1.55023e-40 t=975297
hui la 	會拉	c=2 d=7.41581e-160 t=975297
hui lai 	回來	c=519 d=7.35721e-08 t=975297
hui lai chi 	回來吃	c=5 d=5.66278e-46 t=975297
hui lai le 	回來了	c=5 d=2.55772e-19 t=975297
hui lai ma 	回來嘛	c=1 d=5.02382e-108 t=975297
hui lai tang 	回來趟	c=1 d=4.67879e-212 t=975297
hui lao jia 	回老家	c=10 d=4.01817e-186 t=975297
hui le 	回了	c=0 d=2.31843e-129 t=975297
hui le 	會了	c=1 d=7.78152e-285 t=975297
hui le tang 	回了趟	c=1 d=2.33006e-128 t=975297
hui lei 	揮淚	c=1 d=0 t=975297
hui liao 	回聊	c=1 d=0 t=975297
hui liao tian 	會聊天	c=1 d=0 t=975297
hui liu 	迴流	c=4 d=7.0852e-241 t=975297
hui long 	回籠	c=1 d=4.18131e-214 t=975297
hui long guan 	回龍觀	c=4 d=3.72593e-180 t=975297
hui long jiao 	回籠角	c=1 d=4.20227e-213 t=975297
hui lv 	匯率	c=15 d=1.71269e-36 t=975297
hui mai 	會買	c=1 d=0 t=975297
hui mian 	會面	c=2 d=4.74465e-200 t=975297
hui min 	惠民	c=3 d=7.13104e-23 t=975297
hui ming bai 	會明白	c=1 d=2.28175e-205 t=975297
hui nan jing 	會南京	c=3 d=1.84545e-32 t=975297
hui ni 	回你	c=1 d=0 t=975297
hui niang jia 	回孃家	c=1 d=1.27916e-161 t=975297
hui nuan 	回暖	c=1 d=2.88142e-303 t=975297
hui pai 	揮拍	c=1 d=1.69819e-83 t=975297
hui pu 	惠普	c=2 d=2.07335e-39 t=975297
hui qi dong 	會啓動	c=2 d=0 t=975297
hui qian 	回遷	c=0 d=0 t=975297
hui qian 	會前	c=1 d=0 t=975297
hui qian fang 	回遷放	c=1 d=0 t=975297
hui qu 	回去	c=367 d=0.215178 t=975297
hui qu 	會去	c=4 d=5.01755e-181 t=975297
hui qu chi 	回去吃	c=1 d=0 t=975297
hui qu le 	回去了	c=1 d=1.16291e-99 t=975297
hui qu le ma 	回去了嗎	c=1 d=3.40869e-45 t=975297
hui rang 	會讓	c=2 d=2.2549e-154 t=975297
hui rang ni 	會讓你	c=7 d=9.01369e-44 t=975297
hui rang wo men 	會讓我們	c=1 d=2.13729e-259 t=975297
hui ren wei 	會認爲	c=1 d=0 t=975297
hui se 	晦澀	c=2 d=0 t=975297
hui se 	灰色	c=5 d=3.88894e-125 t=975297
hui shang 	會上	c=41 d=0.00106734 t=975297
hui she ji 	會涉及	c=1 d=4.64878e-107 t=975297
hui sheng 	回升	c=2 d=0 t=975297
hui shi 	回事	c=15 d=8.60641e-44 t=975297
hui shi 	會是	c=5 d=6.62844e-163 t=975297
hui shi er 	會事兒	c=1 d=0 t=975297
hui shi ge 	會是個	c=1 d=0 t=975297
hui shou 	回收	c=23 d=1.0305e-118 t=975297
hui shou 	回首	c=1 d=0 t=975297
hui shou 	揮手	c=1 d=0 t=975297
hui shou 	會受	c=5 d=1.71847e-105 t=975297
hui shou dao 	會收到	c=1 d=0 t=975297
hui shou ying xiang 	回收影響	c=1 d=0 t=975297
hui shou zhan 	回收站	c=6 d=8.47866e-30 t=975297
hui shua 	會耍	c=1 d=9.11668e-60 t=975297
hui shuo 	回溯	c=3 d=3.57178e-36 t=975297
hui shuo 	會說	c=1 d=0 t=975297
hui shuo hua 	會說話	c=1 d=0 t=975297
hui si ren 	會私人	c=1 d=1.52898e-201 t=975297
hui suo 	會所	c=16 d=3.01498e-38 t=975297
hui tan 	會談	c=4 d=7.17051e-176 t=975297
hui tang 	回趟	c=1 d=0 t=975297
hui ti qian 	會提前	c=1 d=0 t=975297
hui tiao 	回調	c=14 d=5.14651e-82 t=975297
hui tiao 	會挑	c=1 d=8.1507e-154 t=975297
hui tou 	回頭	c=67 d=3.62945e-61 t=975297
hui tou lv 	回頭率	c=1 d=0 t=975297
hui tu 	繪圖	c=11 d=1.37265e-138 t=975297
hui tui 	回退	c=13 d=1.41367e-14 t=975297
hui tui 	潰退	c=1 d=0 t=975297
hui wan 	會玩	c=27 d=0.000476365 t=975297
hui wen 	會問	c=1 d=0 t=975297
hui wo 	回我	c=2 d=1.21913e-125 t=975297
hui xia 	麾下	c=2 d=8.025e-177 t=975297
hui xian 	回顯	c=4 d=1.29892e-68 t=975297
hui xiang 	回想	c=1 d=0 t=975297
hui xiang 	迴響	c=1 d=0 t=975297
hui xiang hu 	會相互	c=1 d=0 t=975297
hui xiang shou 	會享受	c=1 d=3.13906e-193 t=975297
hui xie 	會寫	c=3 d=2.78114e-63 t=975297
hui xin 	灰心	c=2 d=0 t=975297
hui xue 	回血	c=3 d=5.02895e-120 t=975297
hui yi 	回憶	c=13 d=1.39504e-05 t=975297
hui yi 	會以	c=3 d=9.04721e-117 t=975297
hui yi 	會議	c=286 d=0.089925 t=975297
hui yi dian 	會一點	c=1 d=2.37061e-272 t=975297
hui yi ji lu 	會議記錄	c=2 d=0.00124951 t=975297
hui yi ji yao 	會議紀要	c=1 d=0 t=975297
hui yi jie lun 	會議結論	c=1 d=1.06123e-52 t=975297
hui yi jing shen 	會議精神	c=1 d=0 t=975297
hui yi lu 	回憶錄	c=5 d=9.02597e-60 t=975297
hui yi shi 	會議室	c=143 d=8.53784e-13 t=975297
hui yi zhi 	會一直	c=1 d=8.88136e-164 t=975297
hui yi zhong 	會議中	c=2 d=0 t=975297
hui yin 	會因	c=1 d=0 t=975297
hui yin 	迴音	c=1 d=0 t=975297
hui yin fa 	會引發	c=4 d=2.1209e-51 t=975297
hui ying 	回應	c=8 d=1.09039e-18 t=975297
hui ying xiang 	會影響	c=10 d=3.5149e-53 t=975297
hui yong 	會用	c=8 d=1.75395e-22 t=975297
hui yong dao 	回用到	c=7 d=1.0249e-54 t=975297
hui yong shang 	會用上	c=1 d=0 t=975297
hui you 	會有	c=232 d=0.00161274 t=975297
hui you dian 	會有點	c=2 d=0 t=975297
hui you ren 	會有人	c=8 d=3.29941e-44 t=975297
hui you sha 	會有啥	c=1 d=6.8113e-189 t=975297
hui you wen ti 	會有問題	c=1 d=0 t=975297
hui you xie 	會有些	c=2 d=0 t=975297
hui you yi bo 	會有一波	c=1 d=2.88785e-06 t=975297
hui yu 	會與	c=0 d=7.77244e-96 t=975297
hui yu chi 	會與吃	c=1 d=7.8114e-95 t=975297
hui yu dao 	會遇到	c=2 d=4.00725e-154 t=975297
hui yu yi dan 	毀於一旦	c=1 d=1.42783e-43 t=975297
hui yuan 	回源	c=3 d=0 t=975297
hui yuan 	會員	c=37 d=0.381977 t=975297
hui yuan zhi 	會員制	c=1 d=0 t=975297
hui zai 	會再	c=2 d=0 t=975297
hui zai 	會在	c=25 d=1.58214e-15 t=975297
hui zao 	會造	c=1 d=1.76167e-103 t=975297
hui zao cheng 	會造成	c=4 d=7.95082e-156 t=975297
hui zeng 	回贈	c=2 d=9.07834e-128 t=975297
hui zeng jia 	會增加	c=1 d=0 t=975297
hui zhang 	會長	c=1 d=0 t=975297
hui zhe yang 	會這樣	c=1 d=1.41032e-133 t=975297
hui zheng 	彙整	c=2 d=1.35622e-111 t=975297
hui zhi 	回執	c=2 d=5.08138e-95 t=975297
hui zhi 	繪製	c=23 d=3.06185e-106 t=975297
hui zhou 	惠州	c=7 d=2.48078e-42 t=975297
hui zhu bu 	會逐步	c=1 d=4.5171e-210 t=975297
hui zhuang xiu 	會裝修	c=1 d=2.27833e-158 t=975297
hui zong 	彙總	c=81 d=2.37817e-45 t=975297
hui zou 	回走	c=1 d=0 t=975297
hui zu 	回族	c=2 d=6.99228e-174 t=975297
hui zuo 	會做	c=7 d=9.16447e-137 t=975297
hui zuo fan 	會做飯	c=1 d=2.26774e-162 t=975297
hui zuo ti 	會做題	c=3 d=8.55985e-142 t=975297
hun 	婚	c=9 d=8.31643e-38 t=975297
hun 	昏	c=1 d=0 t=975297
hun 	混	c=17 d=6.0287e-18 t=975297
hun bian 	婚變	c=1 d=1.9888e-206 t=975297
hun bian 	混編	c=3 d=1.88537e-195 t=975297
hun cai 	葷菜	c=4 d=6.15134e-49 t=975297
hun cheng 	混成	c=1 d=3.2285e-200 t=975297
hun da 	混搭	c=1 d=5.66668e-201 t=975297
hun dao 	混到	c=1 d=0 t=975297
hun de 	混得	c=1 d=8.7524e-139 t=975297
hun dong 	混動	c=12 d=1.72063e-61 t=975297
hun dun 	混沌	c=2 d=2.4652e-163 t=975297
hun dun pi 	混沌皮	c=1 d=0 t=975297
hun he 	混合	c=63 d=2.67294e-11 t=975297
hun he yun 	混合雲	c=2 d=0 t=975297
hun hou 	婚後	c=2 d=2.20874e-146 t=975297
hun ji 	混跡	c=1 d=1.0028e-121 t=975297
hun jia 	婚假	c=21 d=9.99684e-29 t=975297
hun jia 	婚嫁	c=1 d=3.39877e-187 t=975297
hun li 	婚禮	c=7 d=3.06903e-16 t=975297
hun lian 	婚戀	c=3 d=7.15285e-101 t=975297
hun luan 	混亂	c=28 d=7.60712e-48 t=975297
hun pai 	混排	c=16 d=0.00153695 t=975297
hun qi 	婚期	c=0 d=0 t=975297
hun qian 	婚前	c=3 d=6.94461e-123 t=975297
hun sha 	婚紗	c=1 d=3.08379e-43 t=975297
hun shen 	渾身	c=1 d=1.26543e-93 t=975297
hun shi 	婚事	c=2 d=4.70251e-07 t=975297
hun xiao 	混淆	c=2 d=6.41675e-180 t=975297
hun yin 	婚姻	c=5 d=5.59672e-55 t=975297
hun yong 	混用	c=4 d=3.28631e-56 t=975297
hun za 	混雜	c=0 d=1.45599e-156 t=975297
hun zai 	混在	c=3 d=2.02992e-94 t=975297
hun zhe 	混着	c=1 d=0 t=975297
huo 	伙	c=3 d=1.41267e-35 t=975297
huo 	或	c=733 d=0.391236 t=975297
huo 	活	c=43 d=2.92541e-11 t=975297
huo 	火	c=9 d=5.04904e-10 t=975297
huo 	禍	c=1 d=2.90494e-281 t=975297
huo 	貨	c=67 d=1.15367e-05 t=975297
huo 	霍	c=6 d=0 t=975297
huo ba zi 	活靶子	c=1 d=0 t=975297
huo ban 	夥伴	c=8 d=2.11183e-30 t=975297
huo ban men 	夥伴門	c=1 d=0 t=975297
huo bao 	火爆	c=4 d=2.50584e-307 t=975297
huo bi 	火幣	c=36 d=6.62952e-18 t=975297
huo bi 	貨幣	c=23 d=3.65253e-34 t=975297
huo bu guo 	活不過	c=1 d=0 t=975297
huo bu jiu 	活不久	c=2 d=3.06893e-45 t=975297
huo bu ming bai 	活不明白	c=1 d=7.56691e-162 t=975297
huo che 	火車	c=20 d=1.03767e-82 t=975297
huo che piao 	火車票	c=22 d=3.42298e-06 t=975297
huo che shang 	火車上	c=1 d=0 t=975297
huo che tou 	火車頭	c=1 d=0 t=975297
huo che zhan 	火車站	c=11 d=1.29225e-95 t=975297
huo da huo xiao 	或大或小	c=1 d=0 t=975297
huo dao 	活到	c=2 d=6.47712e-13 t=975297
huo dao 	貨到	c=2 d=2.93189e-37 t=975297
huo dao lao 	活到老	c=1 d=1.78704e-271 t=975297
huo de 	活得	c=2 d=5.21568e-49 t=975297
huo de 	獲得	c=19 d=1.30494e-43 t=975297
huo dei 	獲得	c=2 d=2.33489e-123 t=975297
huo dong 	活動	c=379 d=1.96292 t=975297
huo dong bian ji qi 	活動編輯器	c=1 d=0 t=975297
huo dong huo dong 	活動活動	c=1 d=0 t=975297
huo dong ri 	活動日	c=1 d=1.07944e-252 t=975297
huo dong ye 	活動頁	c=21 d=6.80313e-28 t=975297
huo duo 	鑊鐸	c=1 d=0 t=975297
huo duo huo shao 	或多或少	c=2 d=1.71834e-16 t=975297
huo er 	活兒	c=220 d=7.79066e-05 t=975297
huo gai 	活該	c=1 d=2.33244e-140 t=975297
huo ge 	或個	c=1 d=4.00592e-297 t=975297
huo guo 	火鍋	c=31 d=0.377192 t=975297
huo guo dian 	火鍋店	c=1 d=0 t=975297
huo guo lai 	活過來	c=2 d=0 t=975297
huo hou 	火候	c=1 d=2.13257e-233 t=975297
huo hu 	火狐	c=7 d=1.32725e-192 t=975297
huo huo 	活活	c=1 d=0 t=975297
huo ji 	夥計	c=19 d=1.39913e-10 t=975297
huo ji 	火急	c=4 d=6.93489e-102 t=975297
huo ji 	火雞	c=1 d=0 t=975297
huo ji huo liao 	火急火燎	c=13 d=3.55676e-104 t=975297
huo ji me 	夥計麼	c=1 d=0 t=975297
huo ji men 	夥計們	c=12 d=0.00186406 t=975297
huo jian 	火箭	c=1 d=0 t=975297
huo jiang 	獲獎	c=7 d=1.71094e-24 t=975297
huo jiang zhe 	獲獎者	c=1 d=5.32381e-202 t=975297
huo ju 	火炬	c=3 d=2.25896e-87 t=975297
huo kao 	火烤	c=1 d=1.66928e-175 t=975297
huo keng 	火坑	c=1 d=7.50365e-269 t=975297
huo kou 	豁口	c=1 d=5.20858e-33 t=975297
